"","state_fips","age","gender","college_degree","white_non_hisp","hispanic","votereg","pol_identity","news_engaged","citizen","urban_resident","rural_resident","investor","evangelical","married","union_member","home_owner","income_bucket","military_service","parent","heterosexual","noaa_cost_pc","cdc_svi_socioecon","cdc_svi_demo","cdc_svi_race","cdc_svi_housing","climate_change_worry"
"11","47",48,"Female","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"1"
"12","27",30,"Male","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Non-Military","Parent","Heterosexual",0.00677793665148157,0.189005747126437,0.370597701149425,0.339497701149425,0.459851724137931,"1"
"13","12",41,"Female","No Degree","White","Non-Hispanic","Registered","Other","Disengaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Other","Non-Military","Non-Parent","Heterosexual",0.0181865477225097,0.69554776119403,0.573580597014925,0.688122388059701,0.686088059701493,"1"
"14","13",53,"Male","No Degree","Non-White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00423069158820454,0.77747358490566,0.604136477987421,0.728794339622642,0.583030817610063,"1"
"15","17",62,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","Other","Non-Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"1"
"16","36",78,"Male","No Degree","Non-White","Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Military","Non-Parent","Heterosexual",0.00404934290740449,0.400477419354839,0.321740322580645,0.449170967741935,0.6973,"0"
"17","21",37,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Parent","Heterosexual",0.00601834699890368,0.573104166666667,0.529145,0.230761666666667,0.561058333333333,"1"
"18","06",46,"Male","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"0"
"19","26",41,"Male","Degree","Non-White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Non-Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"1"
"20","22",68,"Female","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.0652816811439234,0.722946875,0.6693765625,0.755590625,0.70275,"0"
"21","48",72,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","Less than $30,000","Military","Non-Parent","Heterosexual",0.0139091199085764,0.673292913385827,0.739432677165354,0.775565748031496,0.56062874015748,"0"
"22","08",28,"Male","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Evangelical","Unmarried","Union","Owner","$100,000 or more","Non-Military","Parent","Heterosexual",0.00803753021049851,0.471384375,0.413021875,0.605675,0.4271171875,"0"
"23","29",65,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00886472337367179,0.557565217391304,0.474350434782609,0.263209565217391,0.459541739130435,"0"
"24","39",71,"Male","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Urban","Non-Rural","Investor","Evangelical","Unmarried","Non-Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00256478313409527,0.367661363636364,0.402190909090909,0.275798863636364,0.419513636363636,"1"
"25","51",52,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Disengaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00280988744627281,0.482115789473684,0.382191729323308,0.594906015037594,0.432765413533835,"0"
"26","48",68,"Female","Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Non-Heterosexual",0.0139091199085764,0.673292913385827,0.739432677165354,0.775565748031496,0.56062874015748,"0"
"27","42",70,"Male","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.00214868954138767,0.355873134328358,0.359571641791045,0.314155223880597,0.538041791044776,"0"
"28","37",61,"Female","No Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"0"
"29","47",68,"Male","Degree","White","Non-Hispanic","Registered","Other","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Married","Union","Non-Owner","$30,000 - $59,999","Non-Military","Non-Parent","Non-Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"0"
"30","06",27,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"31","56",68,"Male","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Non-Heterosexual",0.00910011601672444,0.296952173913043,0.287126086956522,0.41,0.406078260869565,"1"
"32","27",74,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00677793665148157,0.189005747126437,0.370597701149425,0.339497701149425,0.459851724137931,"0"
"33","41",39,"Female","Degree","Non-White","Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.00294791495580053,0.549383333333333,0.579794444444444,0.524566666666667,0.678488888888889,"1"
"34","05",24,"Male","No Degree","Non-White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00777810930280287,0.636222666666667,0.710584,0.552954666666667,0.580853333333333,"1"
"35","26",63,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"1"
"36","09",64,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.0028936324830182,0.3413875,0.3285,0.6081625,0.5165375,"0"
"37","12",31,"Male","No Degree","Non-White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Non-Union","Non-Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.0181865477225097,0.69554776119403,0.573580597014925,0.688122388059701,0.686088059701493,"1"
"38","18",45,"Female","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00443852627774634,0.353533695652174,0.432161956521739,0.264440217391304,0.38784347826087,"1"
"39","10",58,"Male","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00310848850993796,0.4862,0.611733333333333,0.746766666666667,0.6081,"0"
"40","26",70,"Female","No Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"0"
"41","36",52,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Investor","Non-Evangelical","Married","Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00404934290740449,0.400477419354839,0.321740322580645,0.449170967741935,0.6973,"0"
"42","17",69,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"1"
"43","39",28,"Female","Degree","White","Non-Hispanic","Registered","Independent","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Unmarried","Union","Non-Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.00256478313409527,0.367661363636364,0.402190909090909,0.275798863636364,0.419513636363636,"0"
"44","40",26,"Male","No Degree","White","Non-Hispanic","Registered","Other","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Non-Heterosexual",0.0107056595821421,0.641307792207792,0.750115584415584,0.677501298701299,0.509587012987013,"1"
"45","13",66,"Female","Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00423069158820454,0.77747358490566,0.604136477987421,0.728794339622642,0.583030817610063,"1"
"46","26",58,"Male","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Unmarried","Non-Union","Non-Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"1"
"47","17",42,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"0"
"48","37",24,"Female","No Degree","White","Non-Hispanic","Registered","Independent","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Non-Military","Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"1"
"49","24",59,"Female","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00265997890557847,0.3442625,0.4133125,0.6573875,0.454004166666667,"1"
"50","17",56,"Female","No Degree","Non-White","Unknown","Registered","Independent","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"1"
"51","17",45,"Male","No Degree","Non-White","Non-Hispanic"," Unregistered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"0"
"52","06",41,"Female","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"53","36",34,"Female","No Degree","White","Non-Hispanic","Registered","Independent","Disengaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Owner","$30,000 - $59,999","Non-Military","Parent","Heterosexual",0.00404934290740449,0.400477419354839,0.321740322580645,0.449170967741935,0.6973,"1"
"54","47",59,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"0"
"55","06",56,"Male","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"56","12",36,"Female","No Degree","Non-White","Hispanic","Registered","Democrat","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.0181865477225097,0.69554776119403,0.573580597014925,0.688122388059701,0.686088059701493,"1"
"57","20",59,"Male","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Non-Heterosexual",0.013819144578679,0.310998095238095,0.51277619047619,0.404407619047619,0.300883809523809,"1"
"58","19",49,"Male","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.0191466740482339,0.168554545454545,0.392081818181818,0.250541414141414,0.322393939393939,"1"
"59","47",34,"Male","No Degree","White","Non-Hispanic"," Unregistered","Republican","Disengaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Union","Owner","Other","Non-Military","Non-Parent","Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"1"
"60","09",50,"Female","No Degree","White","Non-Hispanic","Registered","Other","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.0028936324830182,0.3413875,0.3285,0.6081625,0.5165375,"0"
"61","34",64,"Male","No Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00681490539769011,0.456828571428571,0.391071428571429,0.734838095238095,0.562019047619048,"1"
"62","13",42,"Male","Degree","Non-White","Hispanic"," Unregistered","Republican","Engaged","Non-Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00423069158820454,0.77747358490566,0.604136477987421,0.728794339622642,0.583030817610063,"0"
"63","34",42,"Male","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","$100,000 or more","Non-Military","Parent","Heterosexual",0.00681490539769011,0.456828571428571,0.391071428571429,0.734838095238095,0.562019047619048,"0"
"64","39",53,"Female","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Non-Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Non-Heterosexual",0.00256478313409527,0.367661363636364,0.402190909090909,0.275798863636364,0.419513636363636,"1"
"65","48",61,"Male","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.0139091199085764,0.673292913385827,0.739432677165354,0.775565748031496,0.56062874015748,"0"
"66","17",61,"Female","Degree","Non-White","Non-Hispanic","Registered","Democrat","Disengaged","Citizen","Urban","Non-Rural","Investor","Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"1"
"67","37",71,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"1"
"68","26",69,"Male","No Degree","Non-White","Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Unmarried","Union","Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"0"
"69","17",42,"Male","No Degree","Non-White","Hispanic","Registered","Other","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Other","Non-Military","Parent","Non-Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"0"
"70","13",45,"Female","Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Parent","Heterosexual",0.00423069158820454,0.77747358490566,0.604136477987421,0.728794339622642,0.583030817610063,"1"
"71","45",49,"Female","Degree","White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Non-Heterosexual",0.00736409023759658,0.755986956521739,0.65945652173913,0.791908695652174,0.715617391304348,"1"
"72","47",57,"Female","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Non-Parent","Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"0"
"73","48",64,"Male","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.0139091199085764,0.673292913385827,0.739432677165354,0.775565748031496,0.56062874015748,"0"
"74","17",65,"Male","Degree","Non-White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.00426301647044767,0.315191176470588,0.415810784313725,0.326723529411765,0.419964705882353,"0"
"75","06",80,"Male","No Degree","Non-White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"76","23",51,"Female","No Degree","White","Non-Hispanic","Registered","Independent","Disengaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.00172794437329317,0.419475,0.25916875,0.1617125,0.49996875,"0"
"77","23",40,"Female","Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00172794437329317,0.419475,0.25916875,0.1617125,0.49996875,"1"
"78","13",80,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Engaged","Citizen","Non-Urban","Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00423069158820454,0.77747358490566,0.604136477987421,0.728794339622642,0.583030817610063,"1"
"79","36",32,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$100,000 or more","Non-Military","Parent","Heterosexual",0.00404934290740449,0.400477419354839,0.321740322580645,0.449170967741935,0.6973,"1"
"80","28",26,"Female","No Degree","White","Non-Hispanic"," Unregistered","Other","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.0282948935684017,0.832418292682927,0.662086585365854,0.794542682926829,0.648437804878049,"1"
"81","48",33,"Female","No Degree","Non-White","Non-Hispanic"," Unregistered","Other","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.0139091199085764,0.673292913385827,0.739432677165354,0.775565748031496,0.56062874015748,"0"
"82","53",52,"Female","No Degree","Non-White","Non-Hispanic"," Unregistered","Democrat","Disengaged","Non-Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Married","Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Non-Heterosexual",0.00117107440316624,0.468507692307692,0.5441,0.587328205128205,0.5843,"1"
"83","04",53,"Female","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00141450951470102,0.75204,0.788126666666667,0.840153333333333,0.797093333333333,"1"
"84","06",65,"Female","No Degree","Non-White","Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"85","37",40,"Male","Degree","Non-White","Non-Hispanic","Registered","Independent","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Owner","$60,000 - $99,999","Non-Military","Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"1"
"86","27",22,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Non-Heterosexual",0.00677793665148157,0.189005747126437,0.370597701149425,0.339497701149425,0.459851724137931,"1"
"87","01",18,"Male","No Degree","Non-White","Hispanic","Registered","Independent","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Non-Owner","Less than $30,000","Military","Non-Parent","Heterosexual",0.0100514339167713,0.691658208955224,0.636502985074627,0.680671641791045,0.524840298507463,"1"
